cell_type,chrom,start,end,length_bp,n_ccre,tau_specificity,ccre_ids,target_gene,gene_dist_bp,gene_link_method,gene_expr_specificity,specificity_per_bp,composite_score,motif_score,composite_rank,mouse_ortholog,human_gene_spec,mouse_gene_spec,conservation_score,translatability_flag,conservation_method
Fetal_Metanephric_Cell,chr20,57580456,57580856,400,1,0.9773755656108597,cCRE477992,PCK1,19576.0,nearest_TSS_gencode_v44,0.551889709413575,0.002443438914027149,0.7583895412518828,,11,Pck1,0.551889709413575,,,mouse_expr_unmeasured,gene_level_ortholog_expression_concordance
Fetal_Metanephric_Cell,chr20,57567705,57568105,400,1,0.9728506787330317,cCRE477982,PCK1,6825.0,nearest_TSS_gencode_v44,0.551889709413575,0.0024321266968325792,0.7548784785609018,,12,Pck1,0.551889709413575,,,mouse_expr_unmeasured,gene_level_ortholog_expression_concordance
Fetal_Metanephric_Cell,chr20,57560015,57560415,400,1,0.9502262443438914,cCRE477978,PCK1,865.0,nearest_TSS_gencode_v44,0.551889709413575,0.0023755656108597283,0.7373231651059972,,13,Pck1,0.551889709413575,,,mouse_expr_unmeasured,gene_level_ortholog_expression_concordance
Fetal_Metanephric_Cell,chr5,135567654,135568054,400,1,0.9773755656108597,cCRE1088602,CXCL14,11425.0,nearest_TSS_gencode_v44,0.5078406148381165,0.002443438914027149,0.7368632868892153,,14,Cxcl14,0.5078406148381165,,,mouse_expr_unmeasured,gene_level_ortholog_expression_concordance
Fetal_Metanephric_Cell,chr5,135571151,135571551,400,1,0.9773755656108597,cCRE660362,CXCL14,7928.0,nearest_TSS_gencode_v44,0.5078406148381165,0.002443438914027149,0.7368632868892153,,15,Cxcl14,0.5078406148381165,,,mouse_expr_unmeasured,gene_level_ortholog_expression_concordance
Fetal_Metanephric_Cell,chr5,135559315,135559715,400,1,0.9728506787330317,cCRE660354,CXCL14,19764.0,nearest_TSS_gencode_v44,0.5078406148381165,0.0024321266968325792,0.7334518827832467,,16,Cxcl14,0.5078406148381165,,,mouse_expr_unmeasured,gene_level_ortholog_expression_concordance
Fetal_Metanephric_Cell,chr20,57548707,57549107,400,1,0.9366515837104072,cCRE477971,PCK1,12173.0,nearest_TSS_gencode_v44,0.551889709413575,0.002341628959276018,0.7267899770330544,,17,Pck1,0.551889709413575,,,mouse_expr_unmeasured,gene_level_ortholog_expression_concordance
Fetal_Metanephric_Cell,chr9,101469139,101469539,400,1,0.9909502262443439,cCRE1142810,ALDOB,19675.0,nearest_TSS_gencode_v44,0.46526690586773356,0.0024773755656108598,0.7260032859389901,,18,Aldob,0.46526690586773356,,,mouse_expr_unmeasured,gene_level_ortholog_expression_concordance
Fetal_Metanephric_Cell,chr9,101468069,101468469,400,1,0.9864253393665159,cCRE850200,ALDOB,18605.0,nearest_TSS_gencode_v44,0.46526690586773356,0.00246606334841629,0.7226882024415519,,19,Aldob,0.46526690586773356,,,mouse_expr_unmeasured,gene_level_ortholog_expression_concordance
Fetal_Metanephric_Cell,chr2,127058232,127058632,400,1,0.9909502262443439,cCRE421039,BIN1,48856.0,nearest_TSS_gencode_v44,0.43705066104874607,0.0024773755656108598,0.7120228388454195,,20,Bin1,0.43705066104874607,,,mouse_expr_unmeasured,gene_level_ortholog_expression_concordance
Fetal_Metanephric_Cell,chr2,127064023,127064423,400,1,0.9864253393665159,cCRE421042,BIN1,43065.0,nearest_TSS_gencode_v44,0.43705066104874607,0.00246606334841629,0.7087715930059427,,21,Bin1,0.43705066104874607,,,mouse_expr_unmeasured,gene_level_ortholog_expression_concordance
Fetal_Metanephric_Cell,chr9,101462543,101462943,400,1,0.9638009049773756,cCRE850195,ALDOB,13079.0,nearest_TSS_gencode_v44,0.46526690586773356,0.002409502262443439,0.7061127849543603,,22,Aldob,0.46526690586773356,,,mouse_expr_unmeasured,gene_level_ortholog_expression_concordance
Fetal_Metanephric_Cell,chr20,57589889,57590289,400,1,0.9095022624434389,cCRE478000,PCK1,29009.0,nearest_TSS_gencode_v44,0.551889709413575,0.0022737556561085973,0.7057236008871688,,23,Pck1,0.551889709413575,,,mouse_expr_unmeasured,gene_level_ortholog_expression_concordance
Fetal_Metanephric_Cell,chr15,45384649,45385049,400,1,0.9728506787330317,cCRE268685,GATM,17478.0,nearest_TSS_gencode_v44,0.450589490910935,0.0024321266968325792,0.705603485397853,,24,Gatm,0.450589490910935,,,mouse_expr_unmeasured,gene_level_ortholog_expression_concordance
Fetal_Metanephric_Cell,chr2,127124165,127124565,400,1,0.9819004524886877,cCRE1019895,BIN1,17077.0,nearest_TSS_gencode_v44,0.43705066104874607,0.0024547511312217195,0.7055203471664658,,25,Bin1,0.43705066104874607,,,mouse_expr_unmeasured,gene_level_ortholog_expression_concordance
