chrom	tss	strand	gene_name	gene_type
chr1	16019594	-	HSPB7	protein_coding
chr1	16018875	+	CLCNKA	protein_coding
chr1	16040252	+	CLCNKB	protein_coding
chr1	16073651	-	FAM131C	protein_coding
chr1	16156069	-	EPHA2	protein_coding
chr1	16212652	-	ARHGEF19	protein_coding
chr1	16237183	-	CPLANE2	protein_coding
chr1	16352480	-	FBXO42	protein_coding
chr1	16352575	+	SZRD1	protein_coding
chr1	16437424	-	SPATA21	protein_coding
chr1	16440721	+	NECAP2	protein_coding
chr1	16613562	-	NBPF1	protein_coding
chr1	16740273	+	CROCC	protein_coding
chr1	16980632	-	MFAP2	protein_coding
chr1	17011928	-	ATP13A2	protein_coding
chr1	17011757	-	ENSG00000288636	protein_coding
chr1	17054032	-	SDHB	protein_coding
chr1	17119451	-	PADI2	protein_coding
chr1	17205128	+	PADI1	protein_coding
chr1	17249098	+	PADI3	protein_coding
chr1	17308195	+	PADI4	protein_coding
chr1	17372196	+	PADI6	protein_coding
chr1	17439677	-	RCC2	protein_coding
chr1	17539698	+	ARHGEF10L	protein_coding
chr1	17755333	+	ACTL8	protein_coding
chr1	18107798	+	IGSF21	protein_coding
chr1	18480930	+	KLHDC7A	protein_coding
chr1	18630846	+	PAX7	protein_coding
chr1	18859660	-	TAS1R2	protein_coding
chr1	18902724	-	ALDH4A1	protein_coding
chr1	18956676	-	IFFO2	protein_coding
chr1	19210266	-	UBR4	protein_coding
chr1	19251552	-	EMC1	protein_coding
chr1	19251805	+	MRTO4	protein_coding
chr1	19274194	-	AKR7L	protein_coding
chr1	19288770	-	AKR7A3	protein_coding
chr1	19312144	-	AKR7A2	protein_coding
chr1	19312326	+	SLC66A1	protein_coding
chr1	19485539	-	CAPZB	protein_coding
chr1	19484403	+	MICOS10	protein_coding
chr1	19596979	+	NBL1	protein_coding
chr1	19597067	+	MICOS10-NBL1	protein_coding
chr1	19664875	+	HTR6	protein_coding
chr1	19799945	-	TMCO4	protein_coding
chr1	19815283	-	RNF186	protein_coding
chr1	19882395	+	OTUD3	protein_coding
chr1	19923617	-	PLA2G2E	protein_coding
chr1	19980416	-	PLA2G2A	protein_coding
chr1	20028179	+	PLA2G5	protein_coding
chr1	20119566	-	PLA2G2D	protein_coding
chr1	20139323	+	PLA2G2F	protein_coding
chr1	20186518	-	PLA2G2C	protein_coding
chr1	20186096	+	UBXN10	protein_coding
chr1	20290875	+	VWA5B1	protein_coding
chr1	20486210	-	CAMK2N1	protein_coding
chr1	20508151	-	MUL1	protein_coding
chr1	20552573	+	FAM43B	protein_coding
chr1	20589086	+	CDA	protein_coding
chr1	20633458	+	PINK1	protein_coding
chr1	20661544	-	DDOST	protein_coding
chr1	20718017	-	KIF17	protein_coding
chr1	20732837	-	SH2D5	protein_coding
chr1	20787323	-	HP1BP3	protein_coding
chr1	21177285	-	EIF4G3	protein_coding
chr1	21345572	-	ECE1	protein_coding
chr1	21440128	+	NBPF3	protein_coding
chr1	21509397	+	ALPL	protein_coding
chr1	21547404	+	ENSG00000289715	protein_coding
chr1	21669357	-	RAP1GAP	protein_coding
chr1	21783606	-	USP48	protein_coding
chr1	21812265	+	LDLRAD2	protein_coding
chr1	21937310	-	HSPG2	protein_coding
chr1	21977022	+	CELA3B	protein_coding
chr1	22001657	+	CELA3A	protein_coding
chr1	22025142	+	ENSG00000289694	protein_coding
chr1	22052627	+	CDC42	protein_coding
chr1	22143969	-	WNT4	protein_coding
chr1	22428838	+	ZBTB40	protein_coding
chr1	22563489	+	EPHA8	protein_coding
chr1	22635077	+	C1QA	protein_coding
chr1	22636506	+	ENSG00000289692	protein_coding
chr1	22643014	+	C1QC	protein_coding
chr1	22652762	+	C1QB	protein_coding
chr1	22710839	+	EPHB2	protein_coding
chr1	22972866	-	LACTBL1	protein_coding
chr1	23019100	-	TEX46	protein_coding
chr1	23019443	+	KDM1A	protein_coding
chr1	23177808	-	LUZP1	protein_coding
chr1	23217502	-	HTR1D	protein_coding
chr1	23344336	-	HNRNPR	protein_coding
chr1	23369836	-	ZNF436	protein_coding
chr1	23424748	-	TCEA3	protein_coding
chr1	23484568	-	ASAP3	protein_coding
chr1	23531233	-	E2F2	protein_coding
chr1	23559501	-	ID3	protein_coding
chr1	23691742	+	RPL11	protein_coding
chr1	23743448	+	ELOA	protein_coding
chr1	23778418	+	PITHD1	protein_coding
chr1	23791145	+	LYPLA2	protein_coding
chr1	23800781	-	GALE	protein_coding
chr1	23838620	-	HMGCL	protein_coding
chr1	23868290	-	FUCA1	protein_coding
chr1	23913362	-	CNR2	protein_coding
chr1	23956839	+	PNRC2	protein_coding
chr1	23980927	-	SRSF10	protein_coding
chr1	24112135	-	MYOM3	protein_coding
chr1	24143140	-	IL22RA1	protein_coding
chr1	24187959	-	IFNLR1	protein_coding
chr1	24199558	+	GRHL3	protein_coding
chr1	24416934	-	STPG1	protein_coding
chr1	24415802	+	NIPAL3	protein_coding
chr1	24502351	+	RCAN3	protein_coding
chr1	24556087	+	NCMAP	protein_coding
chr1	24631716	+	SRRM1	protein_coding
chr1	24745382	+	CLIC4	protein_coding
chr1	24965121	-	RUNX3	protein_coding
chr1	25232502	-	SYF2	protein_coding
chr1	25338213	-	RSRP1	protein_coding
chr1	25272393	+	RHD	protein_coding
chr1	25338317	+	TMEM50A	protein_coding
chr1	25430192	-	RHCE	protein_coding
chr1	25430858	+	MACO1	protein_coding
chr1	25543606	+	LDLRAP1	protein_coding
chr1	25616791	+	MAN1C1	protein_coding
chr1	25800193	+	SELENON	protein_coding
chr1	25811470	+	ENSG00000255054	protein_coding
chr1	25818640	+	MTFR1L	protein_coding
chr1	25859458	-	AUNIP	protein_coding
chr1	25875708	-	PAQR7	protein_coding
chr1	25906991	-	STMN1	protein_coding
chr1	25998117	-	PAFAH2	protein_coding
chr1	26019884	+	EXTL1	protein_coding
chr1	26046118	-	SLC30A2	protein_coding
chr1	26068436	-	TRIM63	protein_coding
chr1	26111165	+	PDIK1L	protein_coding
chr1	26159079	+	FAM110D	protein_coding
chr1	26168963	-	C1orf232	protein_coding
chr1	26171832	-	ZNF593OS	protein_coding
chr1	26169908	+	ZNF593	protein_coding
chr1	26177484	+	CNKSR1	protein_coding
chr1	26190561	+	CATSPER4	protein_coding
chr1	26234200	+	CEP85	protein_coding
chr1	26280086	+	SH3BGRL3	protein_coding
chr1	26318363	-	UBXN11	protein_coding
chr1	26317958	+	CD52	protein_coding
chr1	26360080	-	CRYBG2	protein_coding
chr1	26374522	-	ZNF683	protein_coding
chr1	26410817	+	LIN28A	protein_coding
chr1	26432282	+	DHDDS	protein_coding
chr1	26472440	+	HMGN2	protein_coding
chr1	26529761	+	RPS6KA1	protein_coding
chr1	26693236	+	ARID1A	protein_coding
chr1	26787054	+	PIGV	protein_coding
chr1	26826688	+	ZDHHC18	protein_coding
chr1	26863149	+	SFN	protein_coding
chr1	26890283	-	GPN2	protein_coding
chr1	26900467	-	GPATCH3	protein_coding
chr1	26900238	+	NUDC	protein_coding
chr1	26913975	-	NR0B2	protein_coding
chr1	26960468	-	KDF1	protein_coding
chr1	26993692	+	TRNP1	protein_coding
chr1	27012850	-	TENT5B	protein_coding
chr1	27166981	-	SLC9A1	protein_coding
chr1	27234632	+	WDTC1	protein_coding
chr1	27322145	+	TMEM222	protein_coding
chr1	27342020	+	SYTL1	protein_coding
chr1	27366961	-	MAP3K6	protein_coding
chr1	27374824	-	FCN3	protein_coding
chr1	27383333	-	CD164L2	protein_coding
chr1	27392622	+	GPR3	protein_coding
chr1	27490167	-	WASF2	protein_coding
chr1	27604431	-	AHDC1	protein_coding
chr1	27635185	-	FGR	protein_coding
chr1	27672212	-	IFI6	protein_coding
chr1	27725961	+	FAM76A	protein_coding
chr1	27773219	+	STX12	protein_coding
chr1	27830782	+	PPP1R8	protein_coding
chr1	27872543	+	THEMIS2	protein_coding
chr1	27914746	-	RPA2	protein_coding
chr1	27935000	+	SMPDL3B	protein_coding
chr1	27959588	+	XKR8	protein_coding
chr1	28088637	-	EYA3	protein_coding
chr1	28193936	-	PTAFR	protein_coding
chr1	28233029	-	DNAJC8	protein_coding
chr1	28236109	+	ATP5IF1	protein_coding
chr1	28259518	+	SESN2	protein_coding
chr1	28329002	+	MED18	protein_coding
chr1	28369582	+	PHACTR4	protein_coding
chr1	28505943	+	RCC1	protein_coding
chr1	28553085	+	TRNAU1AP	protein_coding
chr1	28648291	-	TAF12	protein_coding
chr1	28592200	+	RAB42	protein_coding
chr1	28668778	+	GMEB1	protein_coding
chr1	28736621	+	YTHDF2	protein_coding
chr1	28812170	+	OPRD1	protein_coding
chr1	28887091	+	EPB41	protein_coding
chr1	29123903	-	TMEM200B	protein_coding
chr1	29181900	-	SRSF4	protein_coding
chr1	29230942	-	MECR	protein_coding
chr1	29236516	+	PTPRU	protein_coding
chr1	30576825	-	ENSG00000289710	protein_coding
chr1	30723585	-	MATN1	protein_coding
chr1	30757774	-	LAPTM5	protein_coding
chr1	30908758	-	SDC3	protein_coding
chr1	31065991	-	PUM1	protein_coding
chr1	31239887	-	NKAIN1	protein_coding
chr1	31296788	-	SNRNP40	protein_coding
chr1	31296982	+	ZCCHC17	protein_coding
chr1	31376850	-	FABP3	protein_coding
chr1	31409565	+	SERINC2	protein_coding
chr1	31576485	+	TINAGL1	protein_coding
chr1	31617686	+	HCRTR1	protein_coding
chr1	31644896	-	PEF1	protein_coding
chr1	31704319	-	COL16A1	protein_coding
chr1	31764893	-	ADGRB2	protein_coding
chr1	31816022	-	SPOCD1	protein_coding
chr1	31944856	-	PTP4A2	protein_coding
chr1	31938010	-	ENSG00000288678	protein_coding
chr1	32013868	+	KHDRBS1	protein_coding
chr1	32072031	+	TMEM39B	protein_coding
chr1	32108056	+	KPNA6	protein_coding
chr1	32179675	+	TXLNA	protein_coding
chr1	32200595	+	CCDC28B	protein_coding
chr1	32205671	+	IQCC	protein_coding
chr1	32209089	+	DCDC2B	protein_coding
chr1	32222359	-	TMEM234	protein_coding
chr1	32221077	+	EIF3I	protein_coding
chr1	32247222	+	FAM167B	protein_coding
chr1	32251244	+	LCK	protein_coding
chr1	32292083	+	HDAC1	protein_coding
chr1	32336233	-	MARCKSL1	protein_coding
chr1	32351521	+	TSSK3	protein_coding
chr1	32364278	-	FAM229A	protein_coding
chr1	32394731	-	BSDC1	protein_coding
chr1	32465057	+	ENSG00000254553	protein_coding
chr1	32465072	+	ZBTB8B	protein_coding
chr1	32539427	+	ZBTB8A	protein_coding
chr1	32650903	-	ZBTB8OS	protein_coding
chr1	32651142	+	RBBP4	protein_coding
chr1	32703596	-	SYNC	protein_coding
chr1	32741830	+	KIAA1522	protein_coding
chr1	32818031	-	YARS1	protein_coding
chr1	32816767	+	S100PBP	protein_coding
chr1	32872482	-	FNDC5	protein_coding
chr1	32885994	+	HPCA	protein_coding
chr1	32901438	-	TMEM54	protein_coding
chr1	32964809	-	RNF19B	protein_coding
chr1	33080996	-	AK2	protein_coding
chr1	33081104	+	AZIN2	protein_coding
chr1	33182059	-	TRIM62	protein_coding
chr1	33256492	+	ZNF362	protein_coding
chr1	33321098	-	A3GALT2	protein_coding
chr1	33431095	-	PHC2	protein_coding
chr1	33472645	+	ZSCAN20	protein_coding
chr1	34165842	-	CSMD2	protein_coding
chr1	33860475	+	HMGB4	protein_coding
chr1	34166883	+	C1orf94	protein_coding
chr1	34859755	-	SMIM12	protein_coding
chr1	34755047	+	GJB5	protein_coding
chr1	34759740	+	GJB4	protein_coding
chr1	34781214	+	GJB3	protein_coding
chr1	34792999	+	GJA4	protein_coding
chr1	34929650	-	DLGAP3	protein_coding
chr1	34985313	-	ENSG00000284773	protein_coding
chr1	34985347	-	TMEM35B	protein_coding
chr1	35031741	-	ENSG00000271741	protein_coding
chr1	35031945	-	ZMYM6	protein_coding
chr1	35032172	+	ZMYM1	protein_coding
chr1	35193446	-	SFPQ	protein_coding
chr1	35268709	+	ZMYM4	protein_coding
chr1	35557950	-	KIAA0319L	protein_coding
chr1	35557473	+	NCDN	protein_coding
chr1	35573314	+	TFAP2E	protein_coding
chr1	35641526	-	PSMB2	protein_coding
chr1	35718894	-	C1orf216	protein_coding
chr1	35769978	-	CLSPN	protein_coding
chr1	35808016	+	AGO4	protein_coding
chr1	35869808	+	AGO1	protein_coding
chr1	35930718	+	AGO3	protein_coding
chr1	36084094	+	TEKT2	protein_coding
chr1	36088892	+	ADPRS	protein_coding
chr1	36125222	-	COL8A2	protein_coding
chr1	36156053	-	TRAPPC3	protein_coding
chr1	36155579	+	MAP7D1	protein_coding
chr1	36224432	+	THRAP3	protein_coding
chr1	36306368	+	SH3D21	protein_coding
chr1	36324154	-	EVA1B	protein_coding
chr1	36385924	-	STK40	protein_coding
chr1	36397908	-	LSM10	protein_coding
chr1	36450451	-	OSCP1	protein_coding
chr1	36464384	-	MRPS15	protein_coding
chr1	36483278	-	CSF3R	protein_coding
chr1	37034515	-	GRIK3	protein_coding
chr1	37474580	+	ZC3H12A	protein_coding
chr1	37514766	-	MEAF6	protein_coding
chr1	37554293	-	SNIP1	protein_coding
chr1	37556919	+	DNALI1	protein_coding
chr1	37595937	-	GNL2	protein_coding
chr1	37634892	-	RSPO1	protein_coding
chr1	37692249	-	C1orf109	protein_coding
chr1	37692481	+	CDCA8	protein_coding
chr1	37765133	-	EPHA10	protein_coding
chr1	37793847	+	MANEAL	protein_coding
chr1	37808208	-	YRDC	protein_coding
chr1	37806979	+	C1orf122	protein_coding
chr1	37859592	-	MTF1	protein_coding
chr1	37947053	-	INPP5B	protein_coding
chr1	37990075	-	SF3A3	protein_coding
chr1	38005606	-	FHL3	protein_coding
chr1	38009258	+	UTP11	protein_coding
chr1	38046793	-	POU3F1	protein_coding
chr1	38859772	-	RRAGC	protein_coding
chr1	38873368	-	MYCBP	protein_coding
chr1	38881617	-	ENSG00000274944	protein_coding
chr1	38881587	-	GJA9	protein_coding
chr1	38941830	-	RHBDL2	protein_coding
chr1	38991276	+	AKIRIN1	protein_coding
chr1	39026318	+	NDUFS5	protein_coding
chr1	39081316	+	MACF1	protein_coding
chr1	39491636	+	BMP8A	protein_coding
chr1	39576790	-	PABPC4	protein_coding
chr1	39639643	-	HEYL	protein_coding
chr1	39672107	-	NT5C1A	protein_coding
chr1	39691485	-	HPCAL4	protein_coding
chr1	39692182	+	PPIE	protein_coding
chr1	39788865	-	BMP8B	protein_coding
chr1	39771348	-	OXCT2	protein_coding
chr1	39883511	-	TRIT1	protein_coding
chr1	39902256	-	MYCL	protein_coding
chr1	39955112	+	MFSD2A	protein_coding
chr1	40040233	+	CAP1	protein_coding
chr1	40097260	-	PPT1	protein_coding
chr1	40161387	+	RLF	protein_coding
chr1	40245947	+	TMCO2	protein_coding
chr1	40258041	+	ZMPSTE24	protein_coding
chr1	40317813	-	COL9A2	protein_coding
chr1	40344850	+	SMAP2	protein_coding
chr1	40450102	+	ZFP69B	protein_coding
chr1	40477290	+	ZFP69	protein_coding
chr1	40508741	+	EXO5	protein_coding
chr1	40531573	+	ZNF684	protein_coding
chr1	40665682	-	RIMS3	protein_coding
chr1	40691648	+	NFYC	protein_coding
chr1	40783787	+	KCNQ4	protein_coding
chr1	40862363	-	CITED4	protein_coding
chr1	40979300	+	CTPS1	protein_coding
chr1	41023237	-	SLFNL1	protein_coding
chr1	41242306	-	SCMH1	protein_coding
chr1	41361922	+	FOXO6	protein_coding
chr1	41484683	-	EDN2	protein_coding
chr1	42035925	-	HIVEP3	protein_coding
chr1	41628816	-	ENSG00000284895	protein_coding
chr1	42153410	+	GUCA2B	protein_coding
chr1	42164745	-	GUCA2A	protein_coding
chr1	42335877	-	FOXJ3	protein_coding
chr1	42380792	+	RIMKLA	protein_coding
chr1	42456253	-	ZMYND12	protein_coding
chr1	42456117	+	PPCS	protein_coding
chr1	42463221	+	CCDC30	protein_coding
chr1	42658335	+	PPIH	protein_coding
chr1	42682418	+	YBX1	protein_coding
chr1	42740254	-	CLDN19	protein_coding
chr1	42767084	-	P3H1	protein_coding
chr1	42767245	+	C1orf50	protein_coding
chr1	42767292	+	ENSG00000283580	protein_coding
chr1	42784991	+	TMEM269	protein_coding
chr1	42817397	-	SVBP	protein_coding
chr1	42817122	+	ERMAP	protein_coding
chr1	42846573	+	ZNF691	protein_coding
chr1	42958893	-	SLC2A1	protein_coding
chr1	43145153	+	CFAP144	protein_coding
chr1	43270936	-	EBNA1BP2	protein_coding
chr1	43172330	+	CFAP57	protein_coding
chr1	43269983	+	TMEM125	protein_coding
chr1	43285617	-	C1orf210	protein_coding
chr1	43300982	+	TIE1	protein_coding
chr1	43337818	+	MPL	protein_coding
chr1	43358981	+	CDC20	protein_coding
chr1	43368074	-	ELOVL1	protein_coding
chr1	43389808	-	MED8	protein_coding
chr1	43389882	+	SZT2	protein_coding
chr1	43453989	-	HYI	protein_coding
chr1	43525187	+	PTPRF	protein_coding
chr1	43650149	+	KDM4A	protein_coding
chr1	43650149	+	ENSG00000284989	protein_coding
chr1	43705824	+	ST3GAL3	protein_coding
chr1	43933320	+	ARTN	protein_coding
chr1	43946950	+	IPO13	protein_coding
chr1	43970000	+	DPH2	protein_coding
chr1	43974487	+	ATP6V0B	protein_coding
chr1	43978943	+	B4GALT2	protein_coding
chr1	43991359	+	CCDC24	protein_coding
chr1	44031467	-	SLC6A9	protein_coding
chr1	44118821	+	KLF17	protein_coding
chr1	44141631	-	KLF18	protein_coding
chr1	44213455	+	DMAP1	protein_coding
chr1	44355260	-	ERI3	protein_coding
chr1	44405194	+	RNF220	protein_coding
chr1	44674481	-	TMEM53	protein_coding
chr1	44674692	+	ARMH1	protein_coding
chr1	44739818	+	KIF2C	protein_coding
chr1	44775251	+	RPS8	protein_coding
chr1	44788170	-	BEST4	protein_coding
chr1	44800377	+	PLK3	protein_coding
chr1	44807351	-	DYNLT4	protein_coding
chr1	44808523	+	BTBD19	protein_coding
chr1	44843253	-	PTCH2	protein_coding
chr1	44986722	-	EIF2B3	protein_coding
chr1	45011324	-	HECTD3	protein_coding
chr1	45010950	+	UROD	protein_coding
chr1	45306209	-	ZSWIM5	protein_coding
chr1	45326895	+	HPDL	protein_coding
chr1	45340893	-	MUTYH	protein_coding
chr1	45491155	-	ENSG00000288208	protein_coding
chr1	45340052	+	TOE1	protein_coding
chr1	45491163	-	TESK2	protein_coding
chr1	45500079	-	CCDC163	protein_coding
